Tipo de Producto,Código Barras,SKU,Variante,Precio Venta
EM VARIOS,10003225,10003225,FOCO HALOGENO LED 25 WATTS C/PANEL SOLAR COD 3225,"36.150,00"
EM VEHICULO,50000000,50000000,FORRO DE VOLANTE,"5.000,00"
EM VARIOS,6971399028040,87525286,FREIDORA DE AIRE CALIENTE HEAGER HG-5286,"56.990,00"
EM ESTUCHE TABLET,3010074,3010074,FUNDA IMPERMEABLE ACQUA IPHONE,"3.000,00"
EM ESTUCHE TABLET,110107909,110107909,FUNDA ANTIGOLPE 10',"6.000,00"
EM ESTUCHE TABLET,39195008,39195008,"FUNDA CON TECLADO PARA TABLET 8""","20.990,00"
EM ESTUCHE TABLET,34190700,34190700,FUNDA IPAD AIR 2,"7.990,00"
EM ESTUCHE TABLET,5626890002006,28184940,FUNDA NETBOOK DISEÑO COD 4940,"5.500,00"
AC PORTA CELULAR,7858816053825,87385382,FUNDA PARA CELULAR IMPERMEABLE IRM-05382,"3.000,00"
EM ESTUCHE TABLET,5626890048615,2848920030,"FUNDA PARA TABLET 10"" CON TECLADO USB COD 920030","7.500,00"
EM ESTUCHE TABLET,5626890049919,28184991,"FUNDA PARA TABLET 7"" CON TECLADO COD 4991","6.500,00"
AC ESTUCHE CELULAR,6920756926581,10520897,FUNDA SUMERGIBLE COD 897,"3.500,00"
EM ESTUCHE TABLET,2019080500056,17190010,"FUNDA TABLET 10""","10.500,00"
EM ESTUCHE TABLET,2020081101043,69190010,"FUNDA TABLET 10""","10.500,00"
EM ESTUCHE TABLET,76190700,76190700,FUNDA TABLET 7 PULGADAS,"6.000,00"
EM ESTUCHE TABLET,76190007,76190007,"FUNDA TABLET 7""","6.500,00"
EM ESTUCHE TABLET,2020032200092,18190007,"FUNDA TABLET 7""","6.500,00"
EM ESTUCHE TABLET,50190010,50190010,"FUNDA TABLET 7"" A 10""","2.000,00"
EM ESTUCHE TABLET,76190010,76190010,"FUNDA TABLET 9"" A 10""","6.000,00"
EM ESTUCHE TABLET,76190230,76190230,FUNDA TABLET SAM T230,"5.500,00"
EM ESTUCHE TABLET,13190010,13190010,FUNDA TABLET SAM TAB A 10.1 SILICONA,"15.990,00"
EM ESTUCHE TABLET,13190008,13190008,FUNDA TABLET SAM TAB A 8 SILICONA,"13.990,00"
EM ADAPTADOR,4260113520673,110104323,GALAXY TAB CONNECT KIT,"1.000,00"
