Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87028249,7858816082498,ADAPTADOR C A DOBLE C IRM-08249,2,,"1.000,00",2
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87028249,7858816082498,ADAPTADOR C A DOBLE C IRM-08249,2,,"1.000,00",2
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,6956116793524,6956116793555,CABLE USB-C 1 MT JOYROOM JR-S118,1,,"981,00",981
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,40087020,6971393457020,CABLE USB-IPHONE 1 MT ASPOR,1,,"1.000,00",1
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088636,6954851258636,CABLE USB-IPHONE 1 MT REMAX CELESTE,1,,"840,24",840
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088612,6954851258612,CABLE USB-IPHONE 1 MT REMAX NEGRO,3,,"840,24",2.521
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,22084340,6925871603034,CABLE USB-IPHONE ET-E4340I,1,,"890,76",891
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,40087037,6971393457037,CABLE USB-C 1 MT ASPOR,1,,"1.150,00",1.15
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,39080701,885909627424,CABLE USB-IPHONE 1 MT TIPO ORIGINAL,2,,"1.500,00",3
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088667,6954851258667,CABLE USB-V8 1 MT REMAX ROSADO,4,,"840,24",3.361
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088629,6954851258629,CABLE USB-IPHONE 1 MT REMAX ROSADO,3,,"840,24",2.521
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87084106,7858816041068,CABLE USB-IPHONE IRM-04106,1,,"1.176,47",1.176
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87087531,7858816075315,CABLE USB-V8 3 MTS IRM-07531,2,,"1.261,00",2.522
16/10/2021,NATALY BAEZA,Sin Documento Nº 161021,INVENTARIO,40383105,6901634517404,PORTA CELULAR BRACKET SH-3105 BICI BRAZO,1,,"1.990,00",1.99
16/10/2021,NATALY BAEZA,Sin Documento Nº 161021,INVENTARIO,40383105,6901634517404,PORTA CELULAR BRACKET SH-3105 BICI BRAZO,2,,"1.990,00",3.98
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87086013,7858816060137,CABLE DE PODER PARA COMPUTADOR IRM-06013,1,,"552,00",552
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87086012,7858816060120,CABLE DE PODER TIPO TREBOL IRM-06012,1,,"504,00",504
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40080620,6686993187481,CABLE DE RED 20 MTS CAT 6 0410-5,1,,"2.690,00",2.69
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40081212,6686996002422,"CABLE EXTENSION PLUG 1,5 MTS 1212-29",1,,"630,00",630
